V1	V2	V3	V4	V5	V6	V7
119	sbi03010	Ribosome 	Sb02g006656	Sobic.002G079700	RP-L22	K02890	-
121	sbi03015	mRNA surveillance pathway 	Sb02g007166	Sobic.002G086000	ERF3	K03267	-
124	sbi03030	DNA replication 	Sb02g007190	Sobic.002G086600	RFA1	K07466	-
126	sbi03420	Nucleotide excision repair 	Sb02g007190	Sobic.002G086600	RFA1	K07466	-
128	sbi03430	Mismatch repair 	Sb02g007190	Sobic.002G086600	RFA1	K07466	-
130	sbi03440	Homologous recombination 	Sb02g007190	Sobic.002G086600	RFA1	K07466	-
131	sbi00500	Starch and sucrose metabolism 	Sb02g007310	Sobic.002G088600	glgC	K00975	EC:2.7.7.27
132	sbi00500	Starch and sucrose metabolism 	Sb02g007320	Sobic.002G088600	glgC	K00975	EC:2.7.7.27
133	sbi00520	Amino sugar and nucleotide sugar metabolism 	Sb02g007310	Sobic.002G088600	glgC	K00975	EC:2.7.7.27
134	sbi00520	Amino sugar and nucleotide sugar metabolism 	Sb02g007320	Sobic.002G088600	glgC	K00975	EC:2.7.7.27
137	sbi00380	Tryptophan metabolism 	Sb02g010351	Sobic.002G120300	YUCCA	K11816	EC:1.14.13.168
141	sbi04075	Plant hormone signal transduction 	Sb02g011910	Sobic.002G134000	AHP	K14490	-
143	sbi03030	DNA replication 	Sb02g020420	Sobic.002G160500	RFA1	K07466	-
145	sbi03420	Nucleotide excision repair 	Sb02g020420	Sobic.002G160500	RFA1	K07466	-
147	sbi03430	Mismatch repair 	Sb02g020420	Sobic.002G160500	RFA1	K07466	-
149	sbi03440	Homologous recombination 	Sb02g020420	Sobic.002G160500	RFA1	K07466	-
150	sbi04144	Endocytosis 	Sb02g022140	Sobic.002G172400	RAB11A	K07904	-
182	sbi03040	Spliceosome 	Sb05g002350	Sobic.002G379300	SNRNP27	K12846	-
192	sbi00360	Phenylalanine metabolism 	Sb06g016630	Sobic.003G004900	4CL	K01904	EC:6.2.1.12
193	sbi00130	Ubiquinone and other terpenoid-quinone biosynthesis 	Sb06g016630	Sobic.003G004900	4CL	K01904	EC:6.2.1.12
194	sbi00940	Phenylpropanoid biosynthesis 	Sb06g016630	Sobic.003G004900	4CL	K01904	EC:6.2.1.12
195	sbi03018	RNA degradation 	Sb03g001160	Sobic.003G011300	PATL1	K12617	-
197	sbi04712	Circadian rhythm - plant 	Sb03g001700	Sobic.003G017200	FT	K16223	-
198	sbi04075	Plant hormone signal transduction 	Sb02g006580	Sobic.003G068700	EIN3	K14514	-
207	sbi04141	Protein processing in endoplasmic reticulum 	Sb07g004220	Sobic.003G148000	RNF5	K10666	EC:6.3.2.19
260	sbi00230	Purine metabolism 	Sb04g001790	Sobic.004G019200	RPA2	K03002	EC:2.7.7.6
261	sbi00240	Pyrimidine metabolism 	Sb04g001790	Sobic.004G019200	RPA2	K03002	EC:2.7.7.6
262	sbi03020	RNA polymerase 	Sb04g001790	Sobic.004G019200	RPA2	K03002	EC:2.7.7.6
263	sbi00970	Aminoacyl-tRNA biosynthesis 	Sb04g003180	Sobic.004G037000	DARS	K01876	EC:6.1.1.12
265	sbi03013	RNA transport 	Sb04g003290	Sobic.004G038100	NUP160	K14303	-
266	sbi03013	RNA transport 	Sb04g003270	Sobic.004G038100	NUP160	K14303	-
267	sbi04141	Protein processing in endoplasmic reticulum 	Sb04g004416	Sobic.004G051700	OTU1	K13719	EC:3.1.2.-
306	sbi03030	DNA replication 	Sb08g011300	Sobic.004G230300	RFA1	K07466	-
307	sbi03420	Nucleotide excision repair 	Sb08g011300	Sobic.004G230300	RFA1	K07466	-
308	sbi03430	Mismatch repair 	Sb08g011300	Sobic.004G230300	RFA1	K07466	-
309	sbi03440	Homologous recombination 	Sb08g011300	Sobic.004G230300	RFA1	K07466	-
323	sbi03030	DNA replication 	Sb09g001240	Sobic.004G316800	RFA1	K07466	-
324	sbi03420	Nucleotide excision repair 	Sb09g001240	Sobic.004G316800	RFA1	K07466	-
325	sbi03430	Mismatch repair 	Sb09g001240	Sobic.004G316800	RFA1	K07466	-
326	sbi03440	Homologous recombination 	Sb09g001240	Sobic.004G316800	RFA1	K07466	-
328	sbi04626	Plant-pathogen interaction 	Sb02g000200	Sobic.004G325400	CNGF	K05391	-
333	sbi04144	Endocytosis 	Sb05g000450	Sobic.005G003300	CLTC	K04646	-
334	sbi04144	Endocytosis 	Sb08g000475	Sobic.005G003300	CLTC	K04646	-
337	sbi03013	RNA transport 	Sb05g000980	Sobic.005G010900	NUP188	K14311	-
338	sbi00190	Oxidative phosphorylation 	Sb05g002090	Sobic.005G025200	QCR9	K00419	-
339	sbi04626	Plant-pathogen interaction 	Sb05g002415	Sobic.005G028700	CML	K13448	-
340	sbi00053	Ascorbate and aldarate metabolism 	Sb05g002615	Sobic.005G031000	GLDH	K00225	EC:1.3.2.3
344	sbi00190	Oxidative phosphorylation 	Sb05g003875	Sobic.005G047000	QCR6	K00416	-
378	sbi03010	Ribosome 	Sb06g001820	Sobic.006G019600	RP-L7Ae	K02936	-
381	sbi03015	mRNA surveillance pathway 	Sb06g003570	Sobic.006G033000	CPSF1	K14401	-
382	sbi03015	mRNA surveillance pathway 	Sb06g003580	Sobic.006G033100	CPSF1	K14401	-
392	sbi01200	Carbon metabolism 	Sb06g018835	Sobic.006G052800	OGDH	K00164	EC:1.2.4.2
394	sbi00020	Citrate cycle (TCA cycle) 	Sb06g018835	Sobic.006G052800	OGDH	K00164	EC:1.2.4.2
396	sbi00310	Lysine degradation 	Sb06g018835	Sobic.006G052800	OGDH	K00164	EC:1.2.4.2
398	sbi00380	Tryptophan metabolism 	Sb06g018835	Sobic.006G052800	OGDH	K00164	EC:1.2.4.2
400	sbi00100	Steroid biosynthesis 	Sb06g015950	Sobic.006G071600	E5.4.99.8	K01853	EC:5.4.99.8
403	sbi00970	Aminoacyl-tRNA biosynthesis 	Sb06g018696	Sobic.006G103700	YARS	K01866	EC:6.1.1.1
448	sbi00100	Steroid biosynthesis 	Sb07g003570	Sobic.007G043100	E5.4.99.8	K01853	EC:5.4.99.8
451	sbi01212	Fatty acid metabolism 	Sb07g005685	Sobic.007G071600	DESA1	K03921	EC:1.14.19.2
452	sbi00061	Fatty acid biosynthesis 	Sb07g005685	Sobic.007G071600	DESA1	K03921	EC:1.14.19.2
453	sbi01040	Biosynthesis of unsaturated fatty acids 	Sb07g005685	Sobic.007G071600	DESA1	K03921	EC:1.14.19.2
469	sbi00860	Porphyrin and chlorophyll metabolism 	Sb02g012201	Sobic.007G168000	E3.1.1.14	K08099	EC:3.1.1.14
472	sbi04144	Endocytosis 	Sb08g000480	Sobic.008G003700	CLTC	K04646	-
473	sbi00360	Phenylalanine metabolism 	Sb08g000980	Sobic.008G010400	E1.11.1.7	K00430	EC:1.11.1.7
474	sbi00940	Phenylpropanoid biosynthesis 	Sb08g000980	Sobic.008G010400	E1.11.1.7	K00430	EC:1.11.1.7
475	sbi00230	Purine metabolism 	Sb08g001130	Sobic.008G012200	RPB5	K03013	-
476	sbi00240	Pyrimidine metabolism 	Sb08g001130	Sobic.008G012200	RPB5	K03013	-
477	sbi03020	RNA polymerase 	Sb08g001130	Sobic.008G012200	RPB5	K03013	-
478	sbi04626	Plant-pathogen interaction 	Sb08g001850	Sobic.008G020900	RPM1	K13457	-
480	sbi00230	Purine metabolism 	Sb08g005960	Sobic.008G070300	purD	K01945	EC:6.3.4.13
503	sbi03030	DNA replication 	Sb09g001250	Sobic.009G012500	RFA1	K07466	-
504	sbi03420	Nucleotide excision repair 	Sb09g001250	Sobic.009G012500	RFA1	K07466	-
505	sbi03430	Mismatch repair 	Sb09g001250	Sobic.009G012500	RFA1	K07466	-
506	sbi03440	Homologous recombination 	Sb09g001250	Sobic.009G012500	RFA1	K07466	-
510	sbi04120	Ubiquitin mediated proteolysis 	Sb09g004093	Sobic.009G047700	SIAH1	K04506	EC:6.3.2.19
511	sbi01212	Fatty acid metabolism 	Sb09g004830	Sobic.009G057200	E1.3.3.6	K00232	EC:1.3.3.6
512	sbi00071	Fatty acid degradation 	Sb09g004830	Sobic.009G057200	E1.3.3.6	K00232	EC:1.3.3.6
513	sbi00592	alpha-Linolenic acid metabolism 	Sb09g004830	Sobic.009G057200	E1.3.3.6	K00232	EC:1.3.3.6
514	sbi01040	Biosynthesis of unsaturated fatty acids 	Sb09g004830	Sobic.009G057200	E1.3.3.6	K00232	EC:1.3.3.6
515	sbi04146	Peroxisome 	Sb09g004830	Sobic.009G057200	E1.3.3.6	K00232	EC:1.3.3.6
606	sbi03018	RNA degradation 	Sb08g006250	Sobic.010G277000	RRP42	K12589	-
825	sbi04075	Plant hormone signal transduction 	Sb01g000352	Sobic.001G002500	ERF1	K14516	-
826	sbi00240	Pyrimidine metabolism 	Sb01g000470	Sobic.001G004200	psuG	K16329	EC:3.2.-.-
827	sbi03013	RNA transport 	Sb01g000490	Sobic.001G004400	XPO1	K14290	-
828	sbi03008	Ribosome biogenesis in eukaryotes 	Sb01g000490	Sobic.001G004400	XPO1	K14290	-
829	sbi00904	Diterpenoid biosynthesis 	Sb01g000580	Sobic.001G005300	E1.14.11.12	K05282	EC:1.14.11.12
830	sbi03450	Non-homologous end-joining 	Sb01g000620	Sobic.001G005800	XRCC5	K10885	-
831	sbi03018	RNA degradation 	Sb01g000760	Sobic.001G007500	RRP46	K12590	-
832	sbi04144	Endocytosis 	Sb01g000770	Sobic.001G007600	ARFGAP2_3	K12493	-
833	sbi03015	mRNA surveillance pathway 	Sb01g000850	Sobic.001G008500	CPSF3	K14403	EC:3.1.27.-
834	sbi00562	Inositol phosphate metabolism 	Sb01g000860	Sobic.001G008600	plcC	K01114	EC:3.1.4.3
835	sbi00564	Glycerophospholipid metabolism 	Sb01g000860	Sobic.001G008600	plcC	K01114	EC:3.1.4.3
836	sbi00565	Ether lipid metabolism 	Sb01g000860	Sobic.001G008600	plcC	K01114	EC:3.1.4.3
837	sbi00410	beta-Alanine metabolism 	Sb01g000970	Sobic.001G009900	panC	K01918	EC:6.3.2.1
838	sbi00770	Pantothenate and CoA biosynthesis 	Sb01g000970	Sobic.001G009900	panC	K01918	EC:6.3.2.1
839	sbi03040	Spliceosome 	Sb01g001040	Sobic.001G010600	SNRPA1	K11092	-
840	sbi03050	Proteasome 	Sb01g001050	Sobic.001G010700	PSMD12	K03035	-
841	sbi01210	2-Oxocarboxylic acid metabolism 	Sb01g001140	Sobic.001G011700	lysC	K00928	EC:2.7.2.4
842	sbi01230	Biosynthesis of amino acids 	Sb01g001140	Sobic.001G011700	lysC	K00928	EC:2.7.2.4
843	sbi00260	Glycine, serine and threonine metabolism 	Sb01g001140	Sobic.001G011700	lysC	K00928	EC:2.7.2.4
844	sbi00270	Cysteine and methionine metabolism 	Sb01g001140	Sobic.001G011700	lysC	K00928	EC:2.7.2.4
845	sbi00300	Lysine biosynthesis 	Sb01g001140	Sobic.001G011700	lysC	K00928	EC:2.7.2.4
846	sbi00460	Cyanoamino acid metabolism 	Sb01g001160	Sobic.001G012000	CYP71E1	K13029	EC:1.14.13.68
847	sbi00460	Cyanoamino acid metabolism 	Sb01g001180	Sobic.001G012200	CYP71E1	K13029	EC:1.14.13.68
848	sbi01210	2-Oxocarboxylic acid metabolism 	Sb01g001200	Sobic.001G012300	CYP79A1	K13027	EC:1.14.13.41
849	sbi00460	Cyanoamino acid metabolism 	Sb01g001200	Sobic.001G012300	CYP79A1	K13027	EC:1.14.13.41
850	sbi00966	Glucosinolate biosynthesis 	Sb01g001200	Sobic.001G012300	CYP79A1	K13027	EC:1.14.13.41
851	sbi00460	Cyanoamino acid metabolism 	Sb01g001220	Sobic.001G012400	UGT85B1	K13030	EC:2.4.1.85
853	sbi00230	Purine metabolism 	Sb01g001330	Sobic.001G013500	RPB8	K03016	-
854	sbi00240	Pyrimidine metabolism 	Sb01g001330	Sobic.001G013500	RPB8	K03016	-
855	sbi03020	RNA polymerase 	Sb01g001330	Sobic.001G013500	RPB8	K03016	-
856	sbi00230	Purine metabolism 	Sb01g001420	Sobic.001G014500	RPB8	K03016	-
857	sbi00240	Pyrimidine metabolism 	Sb01g001420	Sobic.001G014500	RPB8	K03016	-
858	sbi03020	RNA polymerase 	Sb01g001420	Sobic.001G014500	RPB8	K03016	-
859	sbi03060	Protein export 	Sb01g001520	Sobic.001G015500	yidC	K03217	-
860	sbi03015	mRNA surveillance pathway 	Sb01g001550	Sobic.001G015800	PPP2R5	K11584	-
861	sbi03010	Ribosome 	Sb01g001600	Sobic.001G016400	RP-L17e	K02880	-
862	sbi03010	Ribosome 	Sb01g001610	Sobic.001G016500	RP-L17e	K02880	-
863	sbi03060	Protein export 	Sb01g001670	Sobic.001G017200	SEC62	K12275	-
864	sbi04141	Protein processing in endoplasmic reticulum 	Sb01g001670	Sobic.001G017200	SEC62	K12275	-
867	sbi03010	Ribosome 	Sb01g001850	Sobic.001G018900	RP-S4e	K02987	-
868	sbi00130	Ubiquinone and other terpenoid-quinone biosynthesis 	Sb01g001905	Sobic.001G019800	COQ6	K06126	EC:1.14.13.-
869	sbi03015	mRNA surveillance pathway 	Sb01g001930	Sobic.001G020000	CPSF2	K14402	-
870	sbi00760	Nicotinate and nicotinamide metabolism 	Sb01g002020	Sobic.001G021000	pncB	K00763	EC:6.3.4.21
871	sbi03018	RNA degradation 	Sb01g002070	Sobic.001G021800	DCP1B	K12611	EC:3.-.-.-
872	sbi00970	Aminoacyl-tRNA biosynthesis 	Sb01g002140	Sobic.001G022500	KARS	K04567	EC:6.1.1.6
873	sbi00195	Photosynthesis 	Sb01g002180	Sobic.001G022900	petF	K02639	-
875	sbi00561	Glycerolipid metabolism 	Sb01g002490	Sobic.001G026100	GPAT	K13508	EC:2.3.1.15
876	sbi00564	Glycerophospholipid metabolism 	Sb01g002490	Sobic.001G026100	GPAT	K13508	EC:2.3.1.15
877	sbi03030	DNA replication 	Sb01g002580	Sobic.001G027100	FEN1	K04799	EC:3.-.-.-
878	sbi03410	Base excision repair 	Sb01g002580	Sobic.001G027100	FEN1	K04799	EC:3.-.-.-
879	sbi03450	Non-homologous end-joining 	Sb01g002580	Sobic.001G027100	FEN1	K04799	EC:3.-.-.-
880	sbi03010	Ribosome 	Sb01g002610	Sobic.001G027600	RP-L18	K02881	-
881	sbi00562	Inositol phosphate metabolism 	Sb01g002750	Sobic.001G029200	plcC	K01114	EC:3.1.4.3
882	sbi00564	Glycerophospholipid metabolism 	Sb01g002750	Sobic.001G029200	plcC	K01114	EC:3.1.4.3
883	sbi00565	Ether lipid metabolism 	Sb01g002750	Sobic.001G029200	plcC	K01114	EC:3.1.4.3
884	sbi01230	Biosynthesis of amino acids 	Sb01g002760	Sobic.001G029300	trpE	K01657	EC:4.1.3.27
885	sbi00400	Phenylalanine, tyrosine and tryptophan biosynthesis 	Sb01g002760	Sobic.001G029300	trpE	K01657	EC:4.1.3.27
886	sbi00510	N-Glycan biosynthesis 	Sb01g002910	Sobic.001G031100	DPM1	K00721	EC:2.4.1.83
887	sbi03010	Ribosome 	Sb01g002970	Sobic.001G031800	RP-L30	K02907	-
888	sbi04141	Protein processing in endoplasmic reticulum 	Sb01g003070	Sobic.001G032800	HSPBP1	K09562	-
889	sbi03040	Spliceosome 	Sb01g003220	Sobic.001G034400	HSPA1_8	K03283	-
890	sbi04141	Protein processing in endoplasmic reticulum 	Sb01g003220	Sobic.001G034400	HSPA1_8	K03283	-
891	sbi04144	Endocytosis 	Sb01g003220	Sobic.001G034400	HSPA1_8	K03283	-
892	sbi00941	Flavonoid biosynthesis 	Sb01g003330	Sobic.001G035600	E5.5.1.6	K01859	EC:5.5.1.6
893	sbi00590	Arachidonic acid metabolism 	Sb01g003380	Sobic.001G036300	LTA4H	K01254	EC:3.3.2.6
894	sbi03010	Ribosome 	Sb01g003410	Sobic.001G036900	RP-S23e	K02973	-
897	sbi03010	Ribosome 	Sb01g003630	Sobic.001G039400	RP-S26e	K02976	-
898	sbi03010	Ribosome 	Sb01g003690	Sobic.001G040000	RP-L17	K02879	-
901	sbi04144	Endocytosis 	Sb01g003770	Sobic.001G040800	ARF1	K07937	-
902	sbi03010	Ribosome 	Sb01g003780	Sobic.001G041000	RP-L36	K02919	-
905	sbi00860	Porphyrin and chlorophyll metabolism 	Sb01g003860	Sobic.001G041800	chlD	K03404	EC:6.6.1.1
906	sbi00100	Steroid biosynthesis 	Sb01g003870	Sobic.001G041900	TGL4	K14674	EC:3.1.1.3 3.1.1.13 3.1.1.4 2.3.1.51
907	sbi00561	Glycerolipid metabolism 	Sb01g003870	Sobic.001G041900	TGL4	K14674	EC:3.1.1.3 3.1.1.13 3.1.1.4 2.3.1.51
908	sbi00564	Glycerophospholipid metabolism 	Sb01g003870	Sobic.001G041900	TGL4	K14674	EC:3.1.1.3 3.1.1.13 3.1.1.4 2.3.1.51
909	sbi00565	Ether lipid metabolism 	Sb01g003870	Sobic.001G041900	TGL4	K14674	EC:3.1.1.3 3.1.1.13 3.1.1.4 2.3.1.51
910	sbi00590	Arachidonic acid metabolism 	Sb01g003870	Sobic.001G041900	TGL4	K14674	EC:3.1.1.3 3.1.1.13 3.1.1.4 2.3.1.51
911	sbi00591	Linoleic acid metabolism 	Sb01g003870	Sobic.001G041900	TGL4	K14674	EC:3.1.1.3 3.1.1.13 3.1.1.4 2.3.1.51
912	sbi00592	alpha-Linolenic acid metabolism 	Sb01g003870	Sobic.001G041900	TGL4	K14674	EC:3.1.1.3 3.1.1.13 3.1.1.4 2.3.1.51
915	sbi03040	Spliceosome 	Sb01g004010	Sobic.001G043500	RBM8A	K12876	-
916	sbi03013	RNA transport 	Sb01g004010	Sobic.001G043500	RBM8A	K12876	-
917	sbi03015	mRNA surveillance pathway 	Sb01g004010	Sobic.001G043500	RBM8A	K12876	-
919	sbi04626	Plant-pathogen interaction 	Sb01g004150	Sobic.001G045000	CPK	K13412	EC:2.7.11.1
920	sbi00360	Phenylalanine metabolism 	Sb01g004160	Sobic.001G045100	E1.11.1.7	K00430	EC:1.11.1.7
921	sbi00940	Phenylpropanoid biosynthesis 	Sb01g004160	Sobic.001G045100	E1.11.1.7	K00430	EC:1.11.1.7
922	sbi00040	Pentose and glucuronate interconversions 	Sb01g004190	Sobic.001G045400	E3.2.1.15	K01184	EC:3.2.1.15
923	sbi00500	Starch and sucrose metabolism 	Sb01g004190	Sobic.001G045400	E3.2.1.15	K01184	EC:3.2.1.15
924	sbi03010	Ribosome 	Sb01g004250	Sobic.001G046100	RP-S2e	K02981	-
925	sbi03010	Ribosome 	Sb01g004260	Sobic.001G046300	RP-S2e	K02981	-
926	sbi04144	Endocytosis 	Sb01g004370	Sobic.001G047400	CHMP4	K12194	-
927	sbi00100	Steroid biosynthesis 	Sb01g004550	Sobic.001G049600	FDFT1	K00801	EC:2.5.1.21
928	sbi00909	Sesquiterpenoid and triterpenoid biosynthesis 	Sb01g004550	Sobic.001G049600	FDFT1	K00801	EC:2.5.1.21
929	sbi03010	Ribosome 	Sb01g004650	Sobic.001G050700	RP-L4	K02926	-
930	sbi00330	Arginine and proline metabolism 	Sb01g004670	Sobic.001G050900	E1.14.11.2	K00472	EC:1.14.11.2
931	sbi03008	Ribosome biogenesis in eukaryotes 	Sb01g004800	Sobic.001G052400	NOP4	K14573	-
932	sbi01200	Carbon metabolism 	Sb01g004810	Sobic.001G052500	pfkA	K00850	EC:2.7.1.11
933	sbi01230	Biosynthesis of amino acids 	Sb01g004810	Sobic.001G052500	pfkA	K00850	EC:2.7.1.11
934	sbi00010	Glycolysis / Gluconeogenesis 	Sb01g004810	Sobic.001G052500	pfkA	K00850	EC:2.7.1.11
935	sbi00030	Pentose phosphate pathway 	Sb01g004810	Sobic.001G052500	pfkA	K00850	EC:2.7.1.11
936	sbi00051	Fructose and mannose metabolism 	Sb01g004810	Sobic.001G052500	pfkA	K00850	EC:2.7.1.11
937	sbi00052	Galactose metabolism 	Sb01g004810	Sobic.001G052500	pfkA	K00850	EC:2.7.1.11
938	sbi03018	RNA degradation 	Sb01g004810	Sobic.001G052500	pfkA	K00850	EC:2.7.1.11
939	sbi04141	Protein processing in endoplasmic reticulum 	Sb01g004950	Sobic.001G054000	PREB	K14003	-
940	sbi03010	Ribosome 	Sb01g005020	Sobic.001G054900	RP-S15e	K02958	-
942	sbi00402	Benzoxazinoid biosynthesis	Sb01g005140	Sobic.001G056400	BX1	K13222	EC:4.1.2.8
943	sbi00402	Benzoxazinoid biosynthesis	Sb01g005150	Sobic.001G056500	BX1	K13222	EC:4.1.2.8
944	sbi01200	Carbon metabolism 	Sb01g005200	Sobic.001G057200	PK	K00873	EC:2.7.1.40
945	sbi01230	Biosynthesis of amino acids 	Sb01g005200	Sobic.001G057200	PK	K00873	EC:2.7.1.40
946	sbi00010	Glycolysis / Gluconeogenesis 	Sb01g005200	Sobic.001G057200	PK	K00873	EC:2.7.1.40
947	sbi00620	Pyruvate metabolism 	Sb01g005200	Sobic.001G057200	PK	K00873	EC:2.7.1.40
948	sbi00230	Purine metabolism 	Sb01g005200	Sobic.001G057200	PK	K00873	EC:2.7.1.40
949	sbi03010	Ribosome 	Sb01g005210	Sobic.001G057300	RP-L4e	K02930	-
950	sbi03008	Ribosome biogenesis in eukaryotes 	Sb01g005340	Sobic.001G058700	XRN2	K12619	EC:3.1.13.-
951	sbi03018	RNA degradation 	Sb01g005340	Sobic.001G058700	XRN2	K12619	EC:3.1.13.-
953	sbi04130	SNARE interactions in vesicular transport 	Sb01g005550	Sobic.001G061200	SEC22	K08517	-
954	sbi04145	Phagosome 	Sb01g005550	Sobic.001G061200	SEC22	K08517	-
955	sbi00380	Tryptophan metabolism 	Sb01g005650	Sobic.001G062300	AAO1_2	K11817	EC:1.2.3.7
956	sbi00380	Tryptophan metabolism 	Sb01g005670	Sobic.001G062500	AAO1_2	K11817	EC:1.2.3.7
957	sbi04626	Plant-pathogen interaction 	Sb01g005750	Sobic.001G063300	CPK	K13412	EC:2.7.11.1
958	sbi04626	Plant-pathogen interaction 	Sb01g005780	Sobic.001G063600	CPK	K13412	EC:2.7.11.1
962	sbi00630	Glyoxylate and dicarboxylate metabolism 	Sb01g005960	Sobic.001G065600	HAO	K11517	EC:1.1.3.15
963	sbi04146	Peroxisome 	Sb01g005960	Sobic.001G065600	HAO	K11517	EC:1.1.3.15
964	sbi00480	Glutathione metabolism 	Sb01g005990	Sobic.001G065800	GST	K00799	EC:2.5.1.18
965	sbi00480	Glutathione metabolism 	Sb01g006000	Sobic.001G065900	GST	K00799	EC:2.5.1.18
966	sbi00480	Glutathione metabolism 	Sb01g006010	Sobic.001G066000	GST	K00799	EC:2.5.1.18
967	sbi03018	RNA degradation 	Sb01g006090	Sobic.001G067000	RCD1	K12606	-
968	sbi00195	Photosynthesis 	Sb01g006100	Sobic.001G067100	petH	K02641	EC:1.18.1.2
969	sbi01200	Carbon metabolism 	Sb01g006240	Sobic.001G069000	rpiA	K01807	EC:5.3.1.6
970	sbi01230	Biosynthesis of amino acids 	Sb01g006240	Sobic.001G069000	rpiA	K01807	EC:5.3.1.6
971	sbi00030	Pentose phosphate pathway 	Sb01g006240	Sobic.001G069000	rpiA	K01807	EC:5.3.1.6
972	sbi00710	Carbon fixation in photosynthetic organisms 	Sb01g006240	Sobic.001G069000	rpiA	K01807	EC:5.3.1.6
973	sbi04145	Phagosome 	Sb01g006310	Sobic.001G069800	TUBB	K07375	-
974	sbi00230	Purine metabolism 	Sb01g006320	Sobic.001G069900	guaB	K00088	EC:1.1.1.205
975	sbi00195	Photosynthesis 	Sb01g006370	Sobic.001G070500	psaF	K02694	-
1977	sbi00230	Purine metabolism 	Sb02g000210	Sobic.002G000300	RPB11	K03008	-
1978	sbi00240	Pyrimidine metabolism 	Sb02g000210	Sobic.002G000300	RPB11	K03008	-
1979	sbi03020	RNA polymerase 	Sb02g000210	Sobic.002G000300	RPB11	K03008	-
1980	sbi00561	Glycerolipid metabolism 	Sb02g000240	Sobic.002G000600	SQD2	K06119	EC:2.4.1.-
1981	sbi00360	Phenylalanine metabolism 	Sb02g000470	Sobic.002G003200	E1.11.1.7	K00430	EC:1.11.1.7
1982	sbi00940	Phenylpropanoid biosynthesis 	Sb02g000470	Sobic.002G003200	E1.11.1.7	K00430	EC:1.11.1.7
1984	sbi00360	Phenylalanine metabolism 	Sb02g000490	Sobic.002G003400	E1.11.1.7	K00430	EC:1.11.1.7
1985	sbi00940	Phenylpropanoid biosynthesis 	Sb02g000490	Sobic.002G003400	E1.11.1.7	K00430	EC:1.11.1.7
1986	sbi00360	Phenylalanine metabolism 	Sb02g000500	Sobic.002G003500	E1.11.1.7	K00430	EC:1.11.1.7
1987	sbi00940	Phenylpropanoid biosynthesis 	Sb02g000500	Sobic.002G003500	E1.11.1.7	K00430	EC:1.11.1.7
1988	sbi00360	Phenylalanine metabolism 	Sb02g000510	Sobic.002G003600	E1.11.1.7	K00430	EC:1.11.1.7
1989	sbi00940	Phenylpropanoid biosynthesis 	Sb02g000510	Sobic.002G003600	E1.11.1.7	K00430	EC:1.11.1.7
1990	sbi00360	Phenylalanine metabolism 	Sb02g000520	Sobic.002G003700	E1.11.1.7	K00430	EC:1.11.1.7
1991	sbi00940	Phenylpropanoid biosynthesis 	Sb02g000520	Sobic.002G003700	E1.11.1.7	K00430	EC:1.11.1.7
1992	sbi00195	Photosynthesis 	Sb02g000550	Sobic.002G004000	psbQ	K08901	-
1993	sbi03008	Ribosome biogenesis in eukaryotes 	Sb02g000660	Sobic.002G005000	UTP6	K14557	-
1994	sbi00750	Vitamin B6 metabolism 	Sb02g000720	Sobic.002G005600	pdxS	K06215	EC:4.3.3.6
1996	sbi00040	Pentose and glucuronate interconversions 	Sb02g000970	Sobic.002G008700	UGDH	K00012	EC:1.1.1.22
